Words,Meanings,Characters,Spellings,Levels
はい,yes,,hai,5
卵,egg,たまご,tamago,5
低い,"short, low",ひくい,hikui,5
なぜ,why,,naze,5
一日,"(1) one day, (2) first of month",いちにち,ichinichi,5
いいえ,no,,iie,5
小さな,little,ちいさな,chiisana,5
時間,time,じかん,jikan,5
上げる,to give,あげる,ageru,5
ふろ,bath,,furo,5
生徒,pupil,せいと,seito,5
レストラン,restaurant,,resutoran,5
出す,to put out,だす,dasu,5
かわいい,cute,,kawaii,5
音楽,music,おんがく,ongaku,5
歌,song,うた,uta,5
いちばん,"best, first",,ichiban,5
咲く,to bloom,さく,saku,5
山,mountain,やま,yama,5
テレビ,television,,terebi,5
授業,"lesson, class work",じゅぎょう,jugyō,5
暖かい,warm,あたたかい,atatakai,5
セーター,"sweater, jumper",,sētā,5
自転車,bicycle,じてんしゃ,jitensha,5
ラジカセ / ラジオカセット,radio cassette player,,rajikase / rajiokasetto,5
つける,to turn on,,tsukeru,5
さ来年,year after next,さらいねん,sarainen,5
学校,school,がっこう,gakkō,5
いくら,how much?,,ikura,5
四,four,し / よん,shi / yon,5
入る,"to enter, to contain",はいる,hairu,5
曇り,cloudy weather,くもり,kumori,5
外国,foreign country,がいこく,gaikoku,5
温い,luke warm,ぬるい,nurui,5
そうして / そして,and,,sōshite / soshite,5
どうも,thanks,,dōmo,5
仕事,job,しごと,shigoto,5
窓,window,まど,mado,5
晩,evening,ばん,ban,5
難しい,difficult,むずかしい,muzukashii,5
村,village,むら,mura,5
鉛筆,pencil,えんぴつ,enpitsu,5
長い,long,ながい,nagai,5
生まれる,to be born,うまれる,umareru,5
雑誌,magazine,ざっし,zasshi,5
国,country,くに,kuni,5
おまわりさん,friendly term for policeman,,omawarisan,5
今朝,this morning,けさ,kesa,5
晴れる,to be sunny,はれる,hareru,5
夕飯,dinner,ゆうはん,yūhan,5
一緒,together,いっしょ,issho,5
どれ,which (of three or more),,dore,5
立つ,to stand,たつ,tatsu,5
元気,"health, vitality",げんき,genki,5
天気,weather,てんき,tenki,5
医者,medical doctor,いしゃ,isha,5
七,seven,しち / なな,shichi / nana,5
はく,"to wear, to put on trousers",,haku,5
だんだん,gradually,,dandan,5
戸,Japanese style door,と,to,5
ノート,"notebook, exercise book",,nōto,5
また,"again, and",,mata,5
今日,today,きょう,kyō,5
とても,very,,totemo,5
一昨年,year before last,おととし,ototoshi,5
文章,"sentence, text",ぶんしょう,bunshō,5
公園,park,こうえん,kōen,5
